NG_NLF,BRET,Condition,Receptor
0,0,CXCR1 + Ubi-WT: CXCL8,CXCR1
100,"0,359543",CXCR1 + Ubi-WT: CXCL8,CXCR1
50,"0,257581",CXCR1 + Ubi-WT: CXCL8,CXCR1
25,"0,155301",CXCR1 + Ubi-WT: CXCL8,CXCR1
"12,5","0,084452",CXCR1 + Ubi-WT: CXCL8,CXCR1
"6,25","0,053647",CXCR1 + Ubi-WT: CXCL8,CXCR1
"3,125","0,021592",CXCR1 + Ubi-WT: CXCL8,CXCR1
0,0,CXCR1 + Ubi-WT: Untreated,CXCR1
100,"0,303981",CXCR1 + Ubi-WT: Untreated,CXCR1
50,"0,188356",CXCR1 + Ubi-WT: Untreated,CXCR1
25,"0,104662",CXCR1 + Ubi-WT: Untreated,CXCR1
"12,5","0,037189",CXCR1 + Ubi-WT: Untreated,CXCR1
"6,25","0,01972",CXCR1 + Ubi-WT: Untreated,CXCR1
"3,125","0,013868",CXCR1 + Ubi-WT: Untreated,CXCR1
0,0,CXCR1 + Ubi-7R: CXCL8,CXCR1
100,"0,372138",CXCR1 + Ubi-7R: CXCL8,CXCR1
50,"0,26861",CXCR1 + Ubi-7R: CXCL8,CXCR1
25,"0,120305",CXCR1 + Ubi-7R: CXCL8,CXCR1
"12,5","0,09191",CXCR1 + Ubi-7R: CXCL8,CXCR1
"6,25","0,062068",CXCR1 + Ubi-7R: CXCL8,CXCR1
"3,125","0,029564",CXCR1 + Ubi-7R: CXCL8,CXCR1
0,0,CXCR1 + Ubi-7R: Untreated,CXCR1
100,"0,314084",CXCR1 + Ubi-7R: Untreated,CXCR1
50,"0,214111",CXCR1 + Ubi-7R: Untreated,CXCR1
25,"0,161227",CXCR1 + Ubi-7R: Untreated,CXCR1
"12,5","0,077677",CXCR1 + Ubi-7R: Untreated,CXCR1
"6,25","0,042116",CXCR1 + Ubi-7R: Untreated,CXCR1
"3,125","0,012327",CXCR1 + Ubi-7R: Untreated,CXCR1
0,0,CXCR1 + Ubi-AA: CXCL8,CXCR1
100,"0,140151",CXCR1 + Ubi-AA: CXCL8,CXCR1
50,"0,092301",CXCR1 + Ubi-AA: CXCL8,CXCR1
25,"0,04051",CXCR1 + Ubi-AA: CXCL8,CXCR1
"12,5","0,012541",CXCR1 + Ubi-AA: CXCL8,CXCR1
"6,25","0,000537",CXCR1 + Ubi-AA: CXCL8,CXCR1
"3,125","0,000619",CXCR1 + Ubi-AA: CXCL8,CXCR1
0,0,CXCR1 + Ubi-AA: Untreated,CXCR1
100,"0,125795",CXCR1 + Ubi-AA: Untreated,CXCR1
50,"0,069629",CXCR1 + Ubi-AA: Untreated,CXCR1
25,"0,032646",CXCR1 + Ubi-AA: Untreated,CXCR1
"12,5","0,017628",CXCR1 + Ubi-AA: Untreated,CXCR1
"6,25","0,015304",CXCR1 + Ubi-AA: Untreated,CXCR1
"3,125","0,010423",CXCR1 + Ubi-AA: Untreated,CXCR1
0,0,CXCR2 + Ubi-AA: Untreated,CXCR2
100,"0,102512",CXCR2 + Ubi-AA: Untreated,CXCR2
50,"0,068088",CXCR2 + Ubi-AA: Untreated,CXCR2
25,"0,033375",CXCR2 + Ubi-AA: Untreated,CXCR2
"12,5","0,011617",CXCR2 + Ubi-AA: Untreated,CXCR2
"6,25","0,003544",CXCR2 + Ubi-AA: Untreated,CXCR2
"3,125","-0,0002",CXCR2 + Ubi-AA: Untreated,CXCR2
0,0,CXCR2 + Ubi-AA: CXCL8,CXCR2
100,"0,125657",CXCR2 + Ubi-AA: CXCL8,CXCR2
50,"0,088878",CXCR2 + Ubi-AA: CXCL8,CXCR2
25,"0,040822",CXCR2 + Ubi-AA: CXCL8,CXCR2
"12,5","0,012238",CXCR2 + Ubi-AA: CXCL8,CXCR2
"6,25","0,007624",CXCR2 + Ubi-AA: CXCL8,CXCR2
"3,125","0,002505",CXCR2 + Ubi-AA: CXCL8,CXCR2
0,0,CXCR2 + Ubi-7R: Untreated,CXCR2
100,"0,347005",CXCR2 + Ubi-7R: Untreated,CXCR2
50,"0,230909",CXCR2 + Ubi-7R: Untreated,CXCR2
25,"0,111965",CXCR2 + Ubi-7R: Untreated,CXCR2
"12,5","0,071376",CXCR2 + Ubi-7R: Untreated,CXCR2
"6,25","0,03111",CXCR2 + Ubi-7R: Untreated,CXCR2
"3,125","0,011803",CXCR2 + Ubi-7R: Untreated,CXCR2
0,0,CXCR2 + Ubi-7R: CXCL8,CXCR2
100,"0,490527",CXCR2 + Ubi-7R: CXCL8,CXCR2
50,"0,345127",CXCR2 + Ubi-7R: CXCL8,CXCR2
25,"0,191152",CXCR2 + Ubi-7R: CXCL8,CXCR2
"12,5","0,117253",CXCR2 + Ubi-7R: CXCL8,CXCR2
"6,25","0,055738",CXCR2 + Ubi-7R: CXCL8,CXCR2
"3,125","0,030678",CXCR2 + Ubi-7R: CXCL8,CXCR2
0,0,CXCR2 + Ubi-WT: Untreated,CXCR2
100,"0,4054",CXCR2 + Ubi-WT: Untreated,CXCR2
50,"0,210836",CXCR2 + Ubi-WT: Untreated,CXCR2
25,"0,113067",CXCR2 + Ubi-WT: Untreated,CXCR2
"12,5","0,062784",CXCR2 + Ubi-WT: Untreated,CXCR2
"6,25","0,030364",CXCR2 + Ubi-WT: Untreated,CXCR2
"3,125","0,017844",CXCR2 + Ubi-WT: Untreated,CXCR2
0,0,CXCR2 + Ubi-WT: CXCL8,CXCR2
100,"0,502",CXCR2 + Ubi-WT: CXCL8,CXCR2
50,"0,378858",CXCR2 + Ubi-WT: CXCL8,CXCR2
25,"0,210013",CXCR2 + Ubi-WT: CXCL8,CXCR2
"12,5","0,127194",CXCR2 + Ubi-WT: CXCL8,CXCR2
"6,25","0,061147",CXCR2 + Ubi-WT: CXCL8,CXCR2
"3,125","0,031998",CXCR2 + Ubi-WT: CXCL8,CXCR2
0,0,CXCR3 + Ubi-WT: Untreated,CXCR3
100,"0,712131",CXCR3 + Ubi-WT: Untreated,CXCR3
50,"0,478781",CXCR3 + Ubi-WT: Untreated,CXCR3
25,"0,308446",CXCR3 + Ubi-WT: Untreated,CXCR3
"12,5","0,149115",CXCR3 + Ubi-WT: Untreated,CXCR3
"6,25","0,081796",CXCR3 + Ubi-WT: Untreated,CXCR3
"3,125","0,030117",CXCR3 + Ubi-WT: Untreated,CXCR3
0,0,CXCR3 + Ubi-WT: CXCL11,CXCR3
100,"0,66984",CXCR3 + Ubi-WT: CXCL11,CXCR3
50,"0,504703",CXCR3 + Ubi-WT: CXCL11,CXCR3
25,"0,316417",CXCR3 + Ubi-WT: CXCL11,CXCR3
"12,5","0,16912",CXCR3 + Ubi-WT: CXCL11,CXCR3
"6,25","0,071467",CXCR3 + Ubi-WT: CXCL11,CXCR3
"3,125","0,043155",CXCR3 + Ubi-WT: CXCL11,CXCR3
0,0,CXCR3 + Ubi-AA: Untreated,CXCR3
100,"0,396529",CXCR3 + Ubi-AA: Untreated,CXCR3
50,"0,261024",CXCR3 + Ubi-AA: Untreated,CXCR3
25,"0,139541",CXCR3 + Ubi-AA: Untreated,CXCR3
"12,5","0,058207",CXCR3 + Ubi-AA: Untreated,CXCR3
"6,25","0,025079",CXCR3 + Ubi-AA: Untreated,CXCR3
"3,125","0,008597",CXCR3 + Ubi-AA: Untreated,CXCR3
0,0,CXCR3 + Ubi-AA: CXCL11,CXCR3
100,"0,402643",CXCR3 + Ubi-AA: CXCL11,CXCR3
50,"0,269007",CXCR3 + Ubi-AA: CXCL11,CXCR3
25,"0,146828",CXCR3 + Ubi-AA: CXCL11,CXCR3
"12,5","0,055159",CXCR3 + Ubi-AA: CXCL11,CXCR3
"6,25","0,016747",CXCR3 + Ubi-AA: CXCL11,CXCR3
"3,125","0,003649",CXCR3 + Ubi-AA: CXCL11,CXCR3
0,0,CXCR3 + Ubi-7R: Untreated,CXCR3
100,"0,572237",CXCR3 + Ubi-7R: Untreated,CXCR3
50,"0,47553",CXCR3 + Ubi-7R: Untreated,CXCR3
25,"0,303219",CXCR3 + Ubi-7R: Untreated,CXCR3
"12,5","0,193605",CXCR3 + Ubi-7R: Untreated,CXCR3
"6,25","0,081238",CXCR3 + Ubi-7R: Untreated,CXCR3
"3,125","0,042219",CXCR3 + Ubi-7R: Untreated,CXCR3
0,0,CXCR3 + Ubi-7R: CXCL11,CXCR3
100,"0,585123",CXCR3 + Ubi-7R: CXCL11,CXCR3
50,"0,481442",CXCR3 + Ubi-7R: CXCL11,CXCR3
25,"0,342545",CXCR3 + Ubi-7R: CXCL11,CXCR3
"12,5","0,191281",CXCR3 + Ubi-7R: CXCL11,CXCR3
"6,25","0,096119",CXCR3 + Ubi-7R: CXCL11,CXCR3
"3,125","0,043255",CXCR3 + Ubi-7R: CXCL11,CXCR3
0,0,CXCR3 + Ubi-WT: TAK-243,CXCR3
100,"0,33769",CXCR3 + Ubi-WT: TAK-243,CXCR3
50,"0,19992",CXCR3 + Ubi-WT: TAK-243,CXCR3
25,"0,093683",CXCR3 + Ubi-WT: TAK-243,CXCR3
"12,5","0,040215",CXCR3 + Ubi-WT: TAK-243,CXCR3
"6,25","0,016212",CXCR3 + Ubi-WT: TAK-243,CXCR3
"3,125","0,006637",CXCR3 + Ubi-WT: TAK-243,CXCR3
0,0,CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
100,"0,371468",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
50,"0,233171",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
25,"0,132908",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
"12,5","0,042661",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
"6,25","0,015844",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
"3,125","0,004446",CXCR3 + Ubi-WT: TAK-243 + CXCL11,CXCR3
0,0,CXCR4 + Ubi WT: Untreated,CXCR4
100,"0,412835",CXCR4 + Ubi WT: Untreated,CXCR4
50,"0,29254",CXCR4 + Ubi WT: Untreated,CXCR4
25,"0,172186",CXCR4 + Ubi WT: Untreated,CXCR4
"12,5","0,08743",CXCR4 + Ubi WT: Untreated,CXCR4
"6,25","0,061967",CXCR4 + Ubi WT: Untreated,CXCR4
"3,125","0,032373",CXCR4 + Ubi WT: Untreated,CXCR4
"3,13","0,019155",CXCR4 + Ubi WT: Untreated,CXCR4
